timestamp,name,status
2025-06-13 12:27:05,zeineb,Trop peu de données
2025-06-13 12:27:05,zeineb,Trop peu de données
2025-06-13 12:27:05,zeineb,Trop peu de données
2025-06-13 12:27:05,zeineb,Trop peu de données
2025-06-13 12:27:05,zeineb,Distrait
2025-06-13 12:27:05,zeineb,Distrait
2025-06-13 12:27:05,zeineb,Distrait
2025-06-13 12:27:05,zeineb,Distrait
2025-06-13 12:27:05,zeineb,Distrait
2025-06-13 12:27:05,zeineb,Distrait
2025-06-13 12:27:05,zeineb,Distrait
2025-06-13 12:27:05,zeineb,Distrait
2025-06-13 12:27:05,zeineb,Concentre
2025-06-13 12:27:05,zeineb,Concentre
2025-06-13 12:27:05,zeineb,Concentre
2025-06-13 12:27:05,zeineb,Concentre
2025-06-13 12:27:05,zeineb,Concentre
2025-06-13 12:27:05,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:06,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Concentre
2025-06-13 12:27:07,zeineb,Distrait
2025-06-13 12:27:07,zeineb,Distrait
2025-06-13 12:27:07,zeineb,Distrait
2025-06-13 12:27:07,zeineb,Distrait
2025-06-13 12:27:07,zeineb,Distrait
2025-06-13 12:27:07,zeineb,Distrait
2025-06-13 12:27:07,zeineb,Distrait
2025-06-13 12:27:07,zeineb,Distrait
2025-06-13 12:27:07,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Distrait
2025-06-13 12:27:08,zeineb,Concentre
2025-06-13 12:27:08,zeineb,Concentre
2025-06-13 12:27:08,zeineb,Concentre
2025-06-13 12:27:08,zeineb,Concentre
2025-06-13 12:27:08,zeineb,Concentre
2025-06-13 12:27:08,zeineb,Concentre
