timestamp,tracker,status,std_x,std_y
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,0.98
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,0.98
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,0.96
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,0.96
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,0.94
2025-06-26 11:11:56,zeinaaab,Concentre,1.00,0.94
2025-06-26 11:11:57,zeinaaab,Concentre,1.00,0.92
2025-06-26 11:11:57,zeinaaab,Concentre,1.00,0.92
2025-06-26 11:11:57,zeinaaab,Concentre,1.00,0.88
2025-06-26 11:11:57,zeinaaab,Concentre,0.99,0.88
2025-06-26 11:11:57,zeinaaab,Concentre,1.11,0.85
2025-06-26 11:11:57,zeinaaab,Concentre,1.38,0.85
2025-06-26 11:11:57,zeinaaab,Concentre,1.45,0.80
2025-06-26 11:11:57,zeinaaab,Concentre,1.64,0.80
2025-06-26 11:11:57,zeinaaab,Concentre,1.69,0.75
2025-06-26 11:11:57,zeinaaab,Concentre,1.82,0.75
2025-06-26 11:11:57,zeinaaab,Concentre,1.86,0.68
2025-06-26 11:11:57,zeinaaab,Concentre,2.11,0.68
2025-06-26 11:11:57,zeinaaab,Concentre,2.35,0.60
2025-06-26 11:11:57,zeinaaab,Concentre,2.66,0.68
2025-06-26 11:11:57,zeinaaab,Concentre,2.95,0.60
2025-06-26 11:11:57,zeinaaab,Concentre,3.30,0.68
2025-06-26 11:11:57,zeinaaab,Concentre,3.98,0.60
2025-06-26 11:11:57,zeinaaab,Concentre,4.65,0.60
2025-06-26 11:11:57,zeinaaab,Concentre,5.21,0.60
2025-06-26 11:11:57,zeinaaab,Concentre,5.61,0.60
2025-06-26 11:11:57,zeinaaab,Concentre,5.99,0.68
2025-06-26 11:11:57,zeinaaab,Concentre,6.23,0.75
2025-06-26 11:11:57,zeinaaab,Concentre,6.48,0.80
2025-06-26 11:11:57,zeinaaab,Concentre,6.60,0.85
2025-06-26 11:11:57,zeinaaab,Concentre,6.85,1.05
2025-06-26 11:11:57,zeinaaab,Concentre,7.07,1.42
2025-06-26 11:11:57,zeinaaab,Concentre,7.41,1.53
2025-06-26 11:11:58,zeinaaab,Concentre,7.71,1.53
2025-06-26 11:11:58,zeinaaab,Concentre,7.87,1.53
2025-06-26 11:11:58,zeinaaab,Concentre,7.87,1.53
2025-06-26 11:11:58,zeinaaab,Concentre,7.81,1.53
2025-06-26 11:11:58,zeinaaab,Concentre,7.63,1.53
2025-06-26 11:11:58,zeinaaab,Concentre,7.39,1.53
2025-06-26 11:11:58,zeinaaab,Concentre,7.05,1.53
2025-06-26 11:11:58,zeinaaab,Concentre,6.82,1.61
2025-06-26 11:11:58,zeinaaab,Concentre,6.82,1.83
2025-06-26 11:11:58,zeinaaab,Concentre,6.82,1.90
2025-06-26 11:11:58,zeinaaab,Concentre,6.92,2.08
2025-06-26 11:11:58,zeinaaab,Concentre,7.03,2.39
2025-06-26 11:11:58,zeinaaab,Concentre,7.35,2.83
2025-06-26 11:11:58,zeinaaab,Concentre,7.45,3.03
2025-06-26 11:11:58,zeinaaab,Concentre,7.70,3.35
2025-06-26 11:11:58,zeinaaab,Concentre,7.93,3.50
2025-06-26 11:11:58,zeinaaab,Concentre,8.19,3.71
2025-06-26 11:11:58,zeinaaab,Concentre,8.44,3.92
2025-06-26 11:11:58,zeinaaab,Concentre,8.68,4.06
2025-06-26 11:11:58,zeinaaab,Concentre,8.89,4.22
2025-06-26 11:11:58,zeinaaab,Concentre,9.03,4.35
2025-06-26 11:11:58,zeinaaab,Concentre,9.22,4.41
2025-06-26 11:11:58,zeinaaab,Concentre,9.29,4.51
2025-06-26 11:11:58,zeinaaab,Concentre,9.40,4.52
2025-06-26 11:11:59,zeinaaab,Concentre,9.41,4.60
2025-06-26 11:11:59,zeinaaab,Concentre,9.44,4.74
2025-06-26 11:11:59,zeinaaab,Concentre,9.35,4.74
2025-06-26 11:11:59,zeinaaab,Concentre,9.12,4.69
2025-06-26 11:11:59,zeinaaab,Concentre,8.77,4.42
2025-06-26 11:11:59,zeinaaab,Concentre,8.24,4.22
2025-06-26 11:11:59,zeinaaab,Concentre,7.53,4.10
2025-06-26 11:11:59,zeinaaab,Concentre,6.90,3.98
2025-06-26 11:11:59,zeinaaab,Concentre,6.25,3.89
2025-06-26 11:11:59,zeinaaab,Concentre,5.63,3.69
2025-06-26 11:11:59,zeinaaab,Concentre,5.21,3.52
2025-06-26 11:11:59,zeinaaab,Concentre,4.63,3.22
2025-06-26 11:11:59,zeinaaab,Concentre,4.74,2.92
2025-06-26 11:11:59,zeinaaab,Concentre,4.82,2.66
2025-06-26 11:11:59,zeinaaab,Concentre,5.06,2.80
2025-06-26 11:11:59,zeinaaab,Concentre,5.27,2.80
