name,emotion,timestamp
Inconnu,neutral,2025-06-26 16:43:01
Inconnu,happy,2025-06-26 16:43:02
Inconnu,neutral,2025-06-26 16:43:03
Inconnu,sad,2025-06-26 16:43:03
Inconnu,neutral,2025-06-26 16:43:04
Inconnu,happy,2025-06-26 16:43:04
Inconnu,neutral,2025-06-26 16:43:05
Inconnu,neutral,2025-06-26 16:43:05
Inconnu,happy,2025-06-26 16:43:06
Inconnu,neutral,2025-06-26 16:43:06
Inconnu,neutral,2025-06-26 16:43:07
Inconnu,neutral,2025-06-26 16:43:07
Inconnu,happy,2025-06-26 16:43:08
Inconnu,neutral,2025-06-26 16:43:08
Inconnu,neutral,2025-06-26 16:43:09
Inconnu,sad,2025-06-26 16:43:09
Inconnu,neutral,2025-06-26 16:43:10
Inconnu,happy,2025-06-26 16:43:10
Inconnu,neutral,2025-06-26 16:43:11
Inconnu,neutral,2025-06-26 16:43:11
Inconnu,neutral,2025-06-26 16:43:12
Inconnu,neutral,2025-06-26 16:43:12
Inconnu,neutral,2025-06-26 16:43:13
Inconnu,neutral,2025-06-26 16:43:13
Inconnu,happy,2025-06-26 16:43:14
Inconnu,neutral,2025-06-26 16:43:14
Inconnu,neutral,2025-06-26 16:43:15
Inconnu,angry,2025-06-26 16:43:15
Inconnu,neutral,2025-06-26 16:43:16
Inconnu,angry,2025-06-26 16:43:16
Inconnu,happy,2025-06-26 16:43:17
Inconnu,neutral,2025-06-26 16:43:17
Inconnu,happy,2025-06-26 16:43:18
Inconnu,neutral,2025-06-26 16:43:18
Inconnu,angry,2025-06-26 16:43:19
Inconnu,neutral,2025-06-26 16:43:19
Inconnu,surprise,2025-06-26 16:43:20
Inconnu,happy,2025-06-26 16:43:20
Inconnu,neutral,2025-06-26 16:43:21
Inconnu,neutral,2025-06-26 16:43:22
Inconnu,neutral,2025-06-26 16:43:23
Inconnu,neutral,2025-06-26 16:43:23
Inconnu,neutral,2025-06-26 16:43:24
Inconnu,neutral,2025-06-26 16:43:24
Inconnu,happy,2025-06-26 16:43:24
Inconnu,neutral,2025-06-26 16:43:25
Inconnu,happy,2025-06-26 16:43:26
Inconnu,happy,2025-06-26 16:43:26
Inconnu,happy,2025-06-26 16:43:27
Inconnu,happy,2025-06-26 16:43:27
Inconnu,happy,2025-06-26 16:43:28
Inconnu,happy,2025-06-26 16:43:28
Inconnu,angry,2025-06-26 16:43:29
Inconnu,happy,2025-06-26 16:43:29
Inconnu,angry,2025-06-26 16:43:30
Inconnu,happy,2025-06-26 16:43:30
Inconnu,fear,2025-06-26 16:43:31
Inconnu,fear,2025-06-26 16:43:31
Inconnu,neutral,2025-06-26 16:43:32
Inconnu,neutral,2025-06-26 16:43:32
Inconnu,surprise,2025-06-26 16:43:33
Inconnu,sad,2025-06-26 16:43:33
Inconnu,neutral,2025-06-26 16:43:34
Inconnu,neutral,2025-06-26 16:43:34
Inconnu,fear,2025-06-26 16:43:35
Inconnu,fear,2025-06-26 16:43:35
Inconnu,neutral,2025-06-26 16:43:36
